iter	Logloss
0	0.6843737413
1	0.6768360089
2	0.6683054187
3	0.6596139369
4	0.6525443318
5	0.645129337
6	0.6380522848
7	0.6325122531
8	0.6257017239
9	0.6201726897
10	0.6135420362
11	0.6076564463
12	0.6018140343
13	0.5962240255
14	0.591901245
15	0.5867849339
16	0.5828333925
17	0.5789856338
18	0.5755070272
19	0.5715494256
20	0.5675174633
21	0.5638323146
22	0.5610058344
23	0.5580366934
24	0.5548472904
25	0.5519634954
26	0.5489864953
27	0.5462555999
28	0.5437399438
29	0.5413969927
30	0.5393230805
31	0.5366736203
32	0.5341848072
33	0.5321648519
34	0.5302358184
35	0.527979201
36	0.5255296105
37	0.5235724574
38	0.5215795532
39	0.5201200646
40	0.5185625182
41	0.5166458841
42	0.5152074604
43	0.5137083719
44	0.5120830507
45	0.5104339481
46	0.5090886513
47	0.5077329386
48	0.506298523
49	0.5052908417
50	0.5041084212
51	0.5030632417
52	0.5014522417
53	0.5002717549
54	0.4992127237
55	0.4982296918
56	0.4971443329
57	0.4961917895
58	0.4953830422
59	0.4946751061
60	0.4936377985
61	0.4927186784
62	0.4916379857
63	0.4906859671
64	0.489823284
65	0.4890394011
66	0.488297257
67	0.4875629807
68	0.4867677438
69	0.4858936591
70	0.4851530128
71	0.4846031019
72	0.4840276307
73	0.4834010507
74	0.4826860677
75	0.4820200185
76	0.4813750761
77	0.4807363264
78	0.4801549566
79	0.4794880886
80	0.4789388495
81	0.4782828865
82	0.4776939761
83	0.4771136348
84	0.4766067773
85	0.4761520788
86	0.4756110781
87	0.475068656
88	0.4747074574
89	0.4741984595
90	0.4736075322
91	0.4731039019
92	0.4723614833
93	0.4717501545
94	0.4712501266
95	0.4707954883
96	0.4703612901
97	0.4698865308
98	0.4694874179
99	0.4689797623
100	0.4686324431
101	0.4682082366
102	0.4676833207
103	0.4671671625
104	0.4666598419
105	0.4662244642
106	0.4658244282
107	0.4654739936
108	0.4650627762
109	0.4645848845
110	0.4642882075
111	0.4639023336
112	0.4635871184
113	0.4633315611
114	0.4629776444
115	0.4624981475
116	0.4621771302
117	0.461742055
118	0.4614856581
119	0.4610580032
120	0.4607726914
121	0.4605359193
122	0.4602253541
123	0.4599195458
124	0.4596339562
125	0.4594051427
126	0.4590662772
127	0.4586638448
128	0.4584848656
129	0.4581383881
130	0.4578921172
131	0.457490215
132	0.4571727686
133	0.4569452907
134	0.4565568293
135	0.4562656625
136	0.4559565739
137	0.4555998796
138	0.4553115933
139	0.4550373746
140	0.4546083319
141	0.4543018047
142	0.4540120759
143	0.453750421
144	0.4533978273
145	0.4532989114
146	0.4529787367
147	0.452626695
148	0.4523950825
149	0.4520944763
150	0.4518190327
151	0.4514277962
152	0.4511779069
153	0.4508136293
154	0.450452696
155	0.4501545805
156	0.4498499722
157	0.4495625096
158	0.4493289157
159	0.4491583565
160	0.448908543
161	0.4487322085
162	0.4483294353
163	0.4480079495
164	0.447694824
165	0.4475376905
166	0.4472374953
167	0.4470796767
168	0.4468606497
169	0.4465134327
170	0.4461971575
171	0.4460635904
172	0.4458057954
173	0.44543643
174	0.4451942593
175	0.4448989013
